id,address,city,end_date,name,prize_money,start_date,state,url,zip,map_link,organizer,inserted_at,updated_at
0cb6b275-c3ce-4040-88f9-0dd6b4738bda,614 Lambs Road,Pitman,,Pickleball Against Poverty Tournament,0,2022-03-26,NJ,https://usapickleball.org/event/pickleball-against-poverty-tournament/,08071,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=614+Lambs+Road+Pitman+NJ+08071+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
6e9874bb-4d81-468f-89bc-e823eac02654,2601 E Sunset Rd,Las Vegas,2022-04-03,2022 USA Pickleball Mountain Regional Championship,0,2022-03-28,NV,https://usapickleball.org/event/2022-usa-pickleball-mountain-regional-championship/,89120,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=2601+E+Sunset+Rd+Las+Vegas+NV+89120+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
7e152a10-256c-4caa-af99-ac92d4d464fe,One Legacy Drive,Mesa,2022-04-03,APP Phoenix Legacy Open,0,2022-03-29,AZ,https://usapickleball.org/event/app-legacy-open/,85212,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=One+Legacy+Drive+Mesa+AZ+85212+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
1782cb06-b922-4fb9-9ef9-4f6ae9f44835,701 Allen Ave,Centralia,2022-04-03,International Indoor Pickleball Championships,0,2022-03-30,WA,https://usapickleball.org/event/international-indoor-pickleball-championships-2/,98531,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=701+Allen+Ave+Centralia+WA+98531+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
217b916d-fc87-41bf-a97b-d76a51cb4005,3430 Club Terrace Way,Wickenburg,2022-04-03,2nd Annual Wickenburg Ranch Pickleball Tournament,0,2022-04-01,AZ,https://usapickleball.org/event/2nd-annual-wickenburg-ranch-pickleball-tournament/,85390,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=3430+Club+Terrace+Way+Wickenburg+AZ+85390+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
a7c323c2-1ee0-4091-a4cd-3246cc73a3a4,6745 Old Springville Rd,Clay,2022-04-03,2022 Alabama Open,0,2022-04-01,AL,https://usapickleball.org/event/2022-alabama-open/,35048,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=6745+Old+Springville+Rd+Clay+AL+35048+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
96895119-8f38-4205-83e1-063d9025537c,1815 Wells St.,Las Cruces,2022-04-03,The Aaron Gifford Benefit Pickleball Tournament,0,2022-04-02,NM,https://usapickleball.org/event/the-aaron-gifford-benefit-pickleball-tournament/,88001,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1815+Wells+St.+Las+Cruces+NM+88001+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
df56c91b-3a68-4af7-b01c-bc2170ca8648,3400 Gateway Blvd,Prescott,2022-04-10,APP Prescott Pickleball Open,0,2022-04-06,AZ,https://usapickleball.org/event/app-prescott-pickleball-open/,86303,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=3400+Gateway+Blvd+Prescott+AZ+86303+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
d27d935f-5740-4960-bd26-714760b71cb7,8125 Arlette,Santee,2022-04-10,3rd Annual Spring Heater 2022,0,2022-04-08,CA,https://usapickleball.org/event/3rd-annual-spring-heater-2022/,92071,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=8125+Arlette+Santee+CA+92071+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
027558a1-355d-4adb-b566-b61d29c15b04,One Legacy Drive,Mesa,2022-04-16,Legacy Easter Classic,0,2022-04-14,AZ,https://usapickleball.org/event/legacy-easter-classic/,85212,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=One+Legacy+Drive+Mesa+AZ+85212+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
